X,Y,Z
ft,ft,ft
0.003439,20.75,0.475561
0.253619,20.75,0.499447
0.503709,20.75,0.51101
0.753644,20.75,0.501102
1.003812,20.75,0.52339
1.254095,20.75,0.561661
1.504351,20.75,0.59615
1.75469,20.75,0.642082
2.005061,20.75,0.692493
2.255274,20.75,0.721083
2.505492,20.75,0.750265
2.755839,20.75,0.797371
3.006142,20.75,0.838351
3.256323,20.75,0.862493
3.506542,20.75,0.891841
3.756771,20.75,0.922697
4.006967,20.75,0.948907
4.257226,20.75,0.983779
4.50744,20.75,1.012376
4.75741,20.75,1.007431
5.007482,20.75,1.016373
5.257589,20.75,1.030376
5.507728,20.75,1.048572
5.757868,20.75,1.067137
6.007879,20.75,1.067649
6.25794,20.75,1.075308
6.507681,20.75,1.038571
6.757362,20.75,0.99357
7.007065,20.75,0.951545
7.256727,20.75,0.903928
7.506363,20.75,0.852711
7.756007,20.75,0.8026
8.005664,20.75,0.754277
8.255352,20.75,0.710114
8.504961,20.75,0.655158
8.754629,20.75,0.608365
9.004255,20.75,0.555732
9.253914,20.75,0.50766
9.503529,20.75,0.453614
9.753205,20.75,0.407861
10.002836,20.75,0.355916
10.252488,20.75,0.306989
10.502268,20.75,0.275682
10.752075,20.75,0.248054
11.001883,20.75,0.220622
11.251695,20.75,0.193723
11.501509,20.75,0.167076
11.751344,20.75,0.143309
12.001156,20.75,0.116441
12.25098,20.75,0.091161
12.500777,20.75,0.062221
12.750615,20.75,0.038861
13.000419,20.75,0.010859
13.25023,20.75,-0.016176
13.500085,20.75,-0.037112
13.74993,20.75,-0.059408
13.99979,20.75,-0.079675
14.249631,20.75,-0.102587
14.499728,20.75,-0.090023
14.749712,20.75,-0.093105
14.99976,20.75,-0.087435
15.249814,20.75,-0.080892
15.499854,20.75,-0.07629
15.749894,20.75,-0.071648
15.999982,20.75,-0.060382
16.25004,20.75,-0.053216
16.500097,20.75,-0.046316
16.750176,20.75,-0.036177
17.000275,20.75,-0.023479
17.250355,20.75,-0.013269
17.500432,20.75,-0.003604
17.750508,20.75,0.006039
18.000589,20.75,0.016331
18.250687,20.75,0.028987
18.500788,20.75,0.041991
18.750905,20.75,0.057296
19.001162,20.75,0.09199
19.251371,20.75,0.11998
19.501617,20.75,0.153039
19.751791,20.75,0.176199
20.002044,20.75,0.210328
20.252209,20.75,0.232152
20.502408,20.75,0.258862
20.752682,20.75,0.295735
21.002807,20.75,0.312189
21.253098,20.75,0.351527
21.503387,20.75,0.390584
21.753687,20.75,0.431149
22.003878,20.75,0.45669
22.254182,20.75,0.497757
22.504521,20.75,0.543771
22.754842,20.75,0.587273
23.005229,20.75,0.639844
23.255485,20.75,0.674289
23.50544,20.75,0.66725
23.755879,20.75,0.726964
24.00617,20.75,0.766339
24.256263,20.75,0.778243
24.506148,20.75,0.761526
24.756193,20.75,0.766738
25.006254,20.75,0.774378
25.256272,20.75,0.775855
25.50635,20.75,0.785811
25.756366,20.75,0.787075
26.006191,20.75,0.762042
26.256012,20.75,0.736323
26.505662,20.75,0.686983
26.755356,20.75,0.643837
27.005006,20.75,0.594572
27.254665,20.75,0.546454
27.504311,20.75,0.496676
27.753942,20.75,0.444687
28.003609,20.75,0.39771
28.252756,20.75,0.278869
28.502507,20.75,0.243575
28.75232,20.75,0.216847
29.002165,20.75,0.194451
29.251966,20.75,0.16603
29.501836,20.75,0.147151
29.751611,20.75,0.115235
30.00148,20.75,0.096098
30.251325,20.75,0.073852
30.501215,20.75,0.057747
30.751066,20.75,0.036172
31.00091,20.75,0.013704
31.250773,20.75,-0.006144
31.500638,20.75,-0.025729
31.750513,20.75,-0.043896
32.000348,20.75,-0.067564
32.250201,20.75,-0.08887
32.500041,20.75,-0.111802
32.749888,20.75,-0.133979
32.99976,20.75,-0.152533
33.249671,20.75,-0.165683
33.499592,20.75,-0.177525
33.749521,20.75,-0.188343
33.999449,20.75,-0.199201
34.249392,20.75,-0.207941
34.49934,20.75,-0.216056
34.749288,20.75,-0.224044
34.999221,20.75,-0.23431
35.249191,20.75,-0.239278
35.499122,20.75,-0.249796
35.749088,20.75,-0.255342
35.999043,20.75,-0.262466
36.248996,20.75,-0.269876
36.49896,20.75,-0.275825
36.748928,20.75,-0.281089
36.998915,20.75,-0.283782
37.248899,20.75,-0.287
37.498847,20.75,-0.295082
37.748823,20.75,-0.299288
37.998833,20.75,-0.298736
38.248846,20.75,-0.297885
38.49901,20.75,-0.27605
38.749099,20.75,-0.264702
38.999189,20.75,-0.253215
39.249253,20.75,-0.245179
39.499378,20.75,-0.228813
39.749397,20.75,-0.227131
39.999473,20.75,-0.217508
40.249533,20.75,-0.210094
40.499593,20.75,-0.202713
40.749668,20.75,-0.193265
40.9997,20.75,-0.18973
41.249765,20.75,-0.181705
41.499622,20.75,-0.202308
41.749906,20.75,-0.164025
42.000209,20.75,-0.12297
42.250489,20.75,-0.085204
42.500781,20.75,-0.04576
42.751087,20.75,-0.00425
43.001379,20.75,0.035112
43.251672,20.75,0.074727
43.501925,20.75,0.108838
43.75219,20.75,0.144638
44.002462,20.75,0.181359
44.25276,20.75,0.221597
44.503056,20.75,0.261597
44.753317,20.75,0.296771
45.003572,20.75,0.331136
45.25385,20.75,0.368748
45.504068,20.75,0.397999
45.754227,20.75,0.419066
46.004455,20.75,0.449698
46.254659,20.75,0.476912
46.504801,20.75,0.495619
46.755017,20.75,0.524619
47.005166,20.75,0.544265
47.255318,20.75,0.564375
47.50514,20.75,0.538935
47.754896,20.75,0.504272
48.004722,20.75,0.479301
48.254491,20.75,0.446521
48.504032,20.75,0.382174
48.753886,20.75,0.36104
49.003637,20.75,0.325688
49.253427,20.75,0.29578
49.503183,20.75,0.261119
49.752984,20.75,0.232715
50.002772,20.75,0.202447
50.252547,20.75,0.170502
50.502305,20.75,0.136141
50.752095,20.75,0.106098
51.001853,20.75,0.071741
51.251618,20.75,0.038413
51.501362,20.75,0.002145
51.751105,20.75,-0.034332
52.000867,20.75,-0.068225
52.250632,20.75,-0.101581
52.500387,20.75,-0.136276
52.750147,20.75,-0.170454
52.999866,20.75,-0.210192
53.249608,20.75,-0.246749
53.499367,20.75,-0.280936
53.749124,20.75,-0.315519
53.998957,20.75,-0.339487
54.248719,20.75,-0.373247
54.498631,20.75,-0.386309
54.748469,20.75,-0.40965
54.998381,20.75,-0.422777
55.248126,20.75,-0.458952
55.498081,20.75,-0.466029
55.747965,20.75,-0.482978
55.997992,20.75,-0.480184
56.24802,20.75,-0.477175
56.497941,20.75,-0.489008
56.747939,20.75,-0.490202
56.997963,20.75,-0.487713
57.248008,20.75,-0.482482
57.498129,20.75,-0.466627
57.748187,20.75,-0.459456
57.998289,20.75,-0.446332
58.248393,20.75,-0.432813
58.498438,20.75,-0.427472
58.748532,20.75,-0.415468
58.99859,20.75,-0.408349
59.248666,20.75,-0.398689
59.49872,20.75,-0.392095
59.748796,20.75,-0.382493
59.998851,20.75,-0.375885
60.24893,20.75,-0.365779
60.49898,20.75,-0.35987
60.749049,20.75,-0.35123
60.999109,20.75,-0.343823
61.249179,20.75,-0.335044
61.49926,20.75,-0.324745
61.749324,20.75,-0.316755
61.999394,20.75,-0.307991
62.249454,20.75,-0.300655
62.499527,20.75,-0.291425
62.749598,20.75,-0.282477
62.999668,20.75,-0.273691
63.249733,20.75,-0.265689
63.499806,20.75,-0.256431
63.749877,20.75,-0.247535
63.999944,20.75,-0.239118
64.250023,20.75,-0.229179
64.500093,20.75,-0.220322
64.750188,20.75,-0.208149
65.000272,20.75,-0.197396
65.250345,20.75,-0.188239
65.50043,20.75,-0.177422
65.750513,20.75,-0.166836
66.000606,20.75,-0.154813
66.25067,20.75,-0.146893
66.500811,20.75,-0.128387
66.750987,20.75,-0.104916
67.001207,20.75,-0.075407
67.251408,20.75,-0.048571
67.501641,20.75,-0.017137
67.751836,20.75,0.008832
68.002114,20.75,0.046374
68.252314,20.75,0.073209
68.502518,20.75,0.100511
68.7527,20.75,0.124714
69.002896,20.75,0.150913
69.253092,20.75,0.177046
69.503302,20.75,0.205247
69.753513,20.75,0.233456
70.00371,20.75,0.259825
70.25391,20.75,0.286642
70.504122,20.75,0.315067
70.754317,20.75,0.34108
71.004517,20.75,0.367741
71.254711,20.75,0.393663
71.504943,20.75,0.424874
71.755145,20.75,0.451876
72.005337,20.75,0.47756
72.255484,20.75,0.496993
72.505462,20.75,0.493024
72.755479,20.75,0.494422
73.005485,20.75,0.494414
73.255498,20.75,0.495248
73.505494,20.75,0.493879
73.755513,20.75,0.495603
74.00551,20.75,0.494229
74.255521,20.75,0.494815
74.505512,20.75,0.492781
74.755635,20.75,0.508855
75.005532,20.75,0.493656
75.255632,20.75,0.506552
75.505621,20.75,0.504206
75.755583,20.75,0.498006
76.005586,20.75,0.497546
76.255594,20.75,0.497707
76.505601,20.75,0.497733
76.755645,20.75,0.502921
77.005658,20.75,0.503823
77.255654,20.75,0.50248
77.505664,20.75,0.502886
77.755679,20.75,0.504091
78.005706,20.75,0.506909
78.255742,20.75,0.510899
78.505742,20.75,0.510012
78.755782,20.75,0.514626
79.005801,20.75,0.516414
79.255851,20.75,0.52243
79.505866,20.75,0.523562
79.755876,20.75,0.524053
80.005928,20.75,0.530301
80.255906,20.75,0.526463
80.50593,20.75,0.528822
80.755992,20.75,0.536425
81.006023,20.75,0.539905
81.256064,20.75,0.544615
81.506069,20.75,0.544454
81.756143,20.75,0.553814
82.006124,20.75,0.550263
82.256162,20.75,0.554585
82.506155,20.75,0.55268
82.756191,20.75,0.556755
83.006225,20.75,0.560544
83.256263,20.75,0.564979
83.506296,20.75,0.568609
83.756318,20.75,0.57078
84.006338,20.75,0.572545
84.256355,20.75,0.574082
84.506374,20.75,0.57579
84.756389,20.75,0.576967
85.006384,20.75,0.575258
85.256414,20.75,0.578601
85.506422,20.75,0.578703
85.756469,20.75,0.584433
86.006511,20.75,0.589308
86.256592,20.75,0.599597
86.50659,20.75,0.598382
86.756499,20.75,0.584942
87.006428,20.75,0.574116
87.256396,20.75,0.568796
87.506396,20.75,0.567992
87.756226,20.75,0.543562
88.006275,20.75,0.549439
88.256134,20.75,0.528957
88.506172,20.75,0.533347
88.755864,20.75,0.489923
89.005649,20.75,0.459197
89.255423,20.75,0.427131
89.505096,20.75,0.380926
89.75485,20.75,0.346017
90.004571,20.75,0.306574
90.254326,20.75,0.271775
90.50404,20.75,0.231368
90.753783,20.75,0.194921
91.00351,20.75,0.156228
91.253256,20.75,0.120225
