X,Y,Z
ft,ft,ft
0.00037,37,0.051153
0.250404,37,0.054905
0.500349,37,0.046498
0.750398,37,0.052382
1.000418,37,0.054215
1.250438,37,0.056095
1.50047,37,0.059494
1.750498,37,0.062567
2.000534,37,0.066658
2.250563,37,0.069749
2.500588,37,0.072278
2.750587,37,0.071248
3.00059,37,0.070712
3.250603,37,0.071682
3.500614,37,0.072258
3.750601,37,0.069571
4.000617,37,0.07086
4.25063,37,0.071708
4.500629,37,0.070745
4.750639,37,0.071192
5.000597,37,0.06442
5.250538,37,0.055394
5.500582,37,0.06059
5.750606,37,0.062928
6.000528,37,0.051274
6.250451,37,0.039796
6.500387,37,0.030032
6.750379,37,0.028059
7.00034,37,0.021643
7.250326,37,0.018871
7.500284,37,0.012193
7.750228,37,0.003484
8.000195,37,-0.002004
8.250145,37,-0.009736
8.500147,37,-0.010471
8.750044,37,-0.025612
8.999998,37,-0.032773
9.250022,37,-0.03046
9.500029,37,-0.030399
9.750058,37,-0.027255
10.00009,37,-0.023731
10.250159,37,-0.015048
10.500196,37,-0.01088
10.75022,37,-0.008429
11.000263,37,-0.00336
11.250315,37,0.002898
11.500338,37,0.005132
11.750367,37,0.008188
12.000391,37,0.010722
12.250418,37,0.013545
12.500445,37,0.016329
12.750502,37,0.023251
13.000497,37,0.021762
13.250527,37,0.02494
13.500527,37,0.02403
13.750561,37,0.027904
14.00059,37,0.031019
14.250574,37,0.027884
14.500588,37,0.028915
14.750541,37,0.021475
15.000513,37,0.016712
15.250525,37,0.017452
15.500527,37,0.016782
15.750485,37,0.0101
16.000487,37,0.009411
16.250474,37,0.006818
16.500474,37,0.005896
16.750445,37,0.000964
17.000412,37,-0.004458
17.250397,37,-0.007543
17.500367,37,-0.012521
17.750355,37,-0.0151
18.000324,37,-0.020318
18.250307,37,-0.023585
18.500285,37,-0.027488
18.750261,37,-0.03171
19.000249,37,-0.034271
19.250239,37,-0.03655
19.500218,37,-0.040317
19.75022,37,-0.041054
20.000198,37,-0.044993
20.2502,37,-0.045556
20.500175,37,-0.049964
20.750165,37,-0.052235
21.000129,37,-0.058129
21.250118,37,-0.060525
21.500112,37,-0.062206
21.750069,37,-0.069096
22.000072,37,-0.069639
22.250068,37,-0.071017
22.500043,37,-0.075417
22.75004,37,-0.076765
23.000005,37,-0.082421
23.250028,37,-0.080251
23.499947,37,-0.092323
23.749894,37,-0.100505
23.999894,37,-0.101452
24.249853,37,-0.107972
24.499806,37,-0.115414
24.749745,37,-0.124719
24.999703,37,-0.131453
25.24966,37,-0.138376
25.499594,37,-0.148405
25.749564,37,-0.153353
25.999495,37,-0.163912
26.24944,37,-0.172416
26.499362,37,-0.184109
26.749282,37,-0.195995
26.999231,37,-0.203903
27.249168,37,-0.213552
27.499154,37,-0.21642
27.749136,37,-0.219879
27.99915,37,-0.218778
28.249076,37,-0.229939
28.4991,37,-0.227561
28.74909,37,-0.229774
28.999059,37,-0.235019
29.248963,37,-0.249178
29.498929,37,-0.25476
29.748883,37,-0.262063
29.998847,37,-0.267971
