X,Y,Z
ft,ft,ft
0.002055,5.75,0.284176
0.252051,5.75,0.282714
0.502044,5.75,0.280814
0.75193,5.75,0.264189
1.00198,5.75,0.270171
1.251952,5.75,0.265317
1.501836,5.75,0.248487
1.751846,5.75,0.248865
2.001817,5.75,0.243961
2.25185,5.75,0.247638
2.501831,5.75,0.244072
2.751868,5.75,0.248316
3.001903,5.75,0.252275
3.251927,5.75,0.254666
3.501874,5.75,0.246496
3.751812,5.75,0.236914
4.001811,5.75,0.235909
4.251815,5.75,0.23558
4.501814,5.75,0.234546
4.75178,5.75,0.228958
5.001717,5.75,0.219282
5.251736,5.75,0.221075
5.501777,5.75,0.225788
5.751749,5.75,0.221003
6.001771,5.75,0.223206
6.25178,5.75,0.223508
6.50183,5.75,0.229477
6.751839,5.75,0.229869
7.001852,5.75,0.230789
7.251858,5.75,0.230628
7.501898,5.75,0.235292
7.751894,5.75,0.233851
8.001895,5.75,0.233089
8.251902,5.75,0.233208
8.501868,5.75,0.22748
8.751911,5.75,0.232542
9.001855,5.75,0.223959
9.251862,5.75,0.223971
9.501852,5.75,0.221745
9.751824,5.75,0.216935
10.001796,5.75,0.212179
10.251684,5.75,0.195841
10.501584,5.75,0.181012
10.751552,5.75,0.17573
11.001462,5.75,0.162432
11.251516,5.75,0.168868
11.501419,5.75,0.154623
11.751018,5.75,0.098303
12.001044,5.75,0.100907
12.250931,5.75,0.084463
12.500959,5.75,0.087363
12.751003,5.75,0.092575
13.001006,5.75,0.092089
13.250973,5.75,0.08662
13.500983,5.75,0.087106
13.75099,5.75,0.087111
14.000986,5.75,0.085708
14.250977,5.75,0.083565
14.50098,5.75,0.083131
14.750941,5.75,0.076763
15.000934,5.75,0.074887
15.250919,5.75,0.071923
15.500901,5.75,0.068483
15.750917,5.75,0.069838
16.000854,5.75,0.060218
16.250855,5.75,0.059421
16.500776,5.75,0.047647
16.750787,5.75,0.048207
17.000816,5.75,0.051418
17.250803,5.75,0.048585
17.500764,5.75,0.04237
17.750796,5.75,0.045865
18.000772,5.75,0.04163
18.250762,5.75,0.039296
18.500767,5.75,0.039184
18.750761,5.75,0.037364
19.000728,5.75,0.032015
19.250698,5.75,0.026863
19.500701,5.75,0.026368
19.750671,5.75,0.021386
20.00066,5.75,0.018962
20.25063,5.75,0.013856
20.500576,5.75,0.005459
20.750562,5.75,0.0027
21.000592,5.75,0.005913
21.250547,5.75,-0.0012
21.500512,5.75,-0.006906
21.750467,5.75,-0.01412
22.000491,5.75,-0.011664
22.250124,5.75,-0.063378
22.500559,5.75,-0.004129
22.750933,5.75,0.046677
23.001339,5.75,0.101941
23.251754,5.75,0.158465
23.502182,5.75,0.216665
23.752584,5.75,0.271418
24.002975,5.75,0.324574
24.253398,5.75,0.382101
24.503841,5.75,0.442426
24.754224,5.75,0.494569
25.004556,5.75,0.539549
25.254956,5.75,0.593887
25.505337,5.75,0.645675
25.755589,5.75,0.679602
26.005894,5.75,0.72092
26.255934,5.75,0.725564
26.506146,5.75,0.753928
26.756064,5.75,0.741785
27.005785,5.75,0.702245
27.255449,5.75,0.654941
27.505093,5.75,0.604786
27.754706,5.75,0.550384
28.004368,5.75,0.50268
28.254028,5.75,0.454845
28.503709,5.75,0.409778
28.753324,5.75,0.355669
29.003018,5.75,0.312374
29.252676,5.75,0.264169
29.50234,5.75,0.21685
29.751951,5.75,0.162206
30.001621,5.75,0.115598
30.25126,5.75,0.064779
30.500977,5.75,0.02486
30.750394,5.75,-0.056733
31.000646,5.75,-0.022757
31.250442,5.75,-0.051942
31.500278,5.75,-0.075403
31.75012,5.75,-0.098276
31.999918,5.75,-0.127084
32.249731,5.75,-0.153765
32.499594,5.75,-0.173647
